epoch,accuracy,f1_score_metric,learning_rate,loss,val_accuracy,val_f1_score_metric,val_loss
0,0.6168224215507507,0.24074070155620575,0.0010000000474974513,1.1015371084213257,0.7758620977401733,0.0,0.6379228830337524
1,0.625,0.0,0.0010000000474974513,1.0981078147888184,0.7758620977401733,0.0,0.6647692918777466
2,0.44392523169517517,0.23225800693035126,0.0010000000474974513,0.9184665083885193,0.7758620977401733,0.0,0.6404812335968018
3,0.5,0.0,0.0010000000474974513,1.4616124629974365,0.7758620977401733,0.0,0.6346939206123352
4,0.44392523169517517,0.28742513060569763,0.0010000000474974513,0.9669230580329895,0.22413793206214905,0.3661971688270569,0.7089013457298279
5,0.5,0.0,0.0010000000474974513,1.6119563579559326,0.22413793206214905,0.3661971688270569,0.7040591239929199
6,0.5607476830482483,0.33802810311317444,0.0010000000474974513,0.815596342086792,0.22413793206214905,0.3661971688270569,0.7078782320022583
7,0.5625,0.2222221940755844,0.0005000000237487257,0.8217332363128662,0.22413793206214905,0.3661971688270569,0.7140066027641296
8,0.5046728849411011,0.2535210847854614,0.0005000000237487257,0.909795880317688,0.22413793206214905,0.3661971688270569,0.7545188665390015
9,0.5625,0.3636363446712494,0.0005000000237487257,0.9337496757507324,0.22413793206214905,0.3661971688270569,0.7420606017112732
10,0.5420560836791992,0.38749995827674866,0.0002500000118743628,0.8632509708404541,0.7758620977401733,0.0,0.674531102180481
0,0.7009345889091492,0.31914886832237244,9.999999747378752e-06,0.7943809032440186,0.7758620977401733,0.0,0.6324712634086609
1,0.6875,0.0,9.999999747378752e-06,0.8493990898132324,0.7758620977401733,0.0,0.6323241591453552
2,0.6822429895401001,0.3584904968738556,9.999999747378752e-06,0.7363542318344116,0.7758620977401733,0.0,0.6281167268753052
3,0.5625,0.0,9.999999747378752e-06,0.508712887763977,0.7758620977401733,0.0,0.6274424195289612
4,0.672897219657898,0.16666662693023682,9.999999747378752e-06,0.7886323928833008,0.7758620977401733,0.0,0.6211684942245483
5,0.6875,0.4444444179534912,9.999999747378752e-06,0.8010827302932739,0.7758620977401733,0.0,0.6211093664169312
6,0.6428571343421936,0.28571420907974243,9.999999747378752e-06,0.833828866481781,0.7758620977401733,0.0,0.6131527423858643
7,0.6666666865348816,0.0,9.999999747378752e-06,0.7857610583305359,0.7758620977401733,0.0,0.6121677756309509
8,0.6355140209197998,0.20408159494400024,9.999999747378752e-06,0.8604594469070435,0.7758620977401733,0.0,0.606136679649353
9,0.625,0.0,9.999999747378752e-06,0.9861251711845398,0.7758620977401733,0.0,0.605816125869751
10,0.6355140209197998,0.3389829993247986,9.999999747378752e-06,0.7677521705627441,0.7758620977401733,0.0,0.597581684589386
11,0.75,0.333333283662796,9.999999747378752e-06,0.7073845863342285,0.7758620977401733,0.0,0.5971724390983582
12,0.5560747385025024,0.18803416192531586,9.999999747378752e-06,0.8592010736465454,0.7758620977401733,0.0,0.5883346796035767
13,0.6875,0.4444444179534912,9.999999747378752e-06,0.9165918827056885,0.7758620977401733,0.0,0.5880067944526672
14,0.5280373692512512,0.22900758683681488,9.999999747378752e-06,0.8356825113296509,0.7758620977401733,0.0,0.5799623131752014
