epoch,accuracy,f1_score_metric,learning_rate,loss,val_accuracy,val_f1_score_metric,val_loss
0,0.5296722650527954,0.34037262201309204,0.0010000000474974513,0.9065544009208679,0.7258347868919373,0.0,0.6763745546340942
1,0.625,0.0,0.0010000000474974513,0.7095152139663696,0.7258347868919373,0.0,0.6744785904884338
2,0.5305579900741577,0.3291138708591461,0.0010000000474974513,0.8117023706436157,0.27416521310806274,0.430344820022583,0.7366865873336792
3,0.375,0.2857142388820648,0.0010000000474974513,0.7324490547180176,0.27416521310806274,0.430344820022583,0.7276411056518555
4,0.5274579524993896,0.34257543087005615,0.0010000000474974513,0.788133442401886,0.27416521310806274,0.430344820022583,0.7236666679382324
5,0.4375,0.3999999463558197,0.0005000000237487257,0.8216239213943481,0.27416521310806274,0.430344820022583,0.7228778004646301
6,0.5057573318481445,0.3435293436050415,0.0005000000237487257,0.7138962745666504,0.27416521310806274,0.430344820022583,0.7210553288459778
7,0.5625,0.5882352590560913,0.0005000000237487257,0.7821500897407532,0.27416521310806274,0.430344820022583,0.7209790945053101
8,0.4902568757534027,0.38547778129577637,0.0002500000118743628,0.7051357626914978,0.27416521310806274,0.430344820022583,0.7122820019721985
0,0.5327723622322083,0.3310081958770752,9.999999747378752e-06,0.7413569688796997,0.7258347868919373,0.0,0.6505544185638428
1,0.5625,0.22222217917442322,9.999999747378752e-06,0.624580442905426,0.7258347868919373,0.0,0.650295615196228
2,0.5376439094543457,0.3531598150730133,9.999999747378752e-06,0.7359604239463806,0.2759226858615875,0.4309391677379608,0.7052931785583496
3,0.625,0.3999999463558197,9.999999747378752e-06,0.7304703593254089,0.2759226858615875,0.4309391677379608,0.7053961157798767
4,0.5394154191017151,0.3246752917766571,9.999999747378752e-06,0.7387863993644714,0.7258347868919373,0.0,0.6632475852966309
5,0.5,0.333333283662796,9.999999747378752e-06,0.6650538444519043,0.7258347868919373,0.0,0.6624578833580017
6,0.5261293053627014,0.33041295409202576,2.9999998787388904e-06,0.7369155287742615,0.7240773439407349,0.0,0.6791971921920776
7,0.5625,0.2222221940755844,2.9999998787388904e-06,0.6565719842910767,0.7240773439407349,0.0,0.6792318820953369
8,0.49867138266563416,0.3325470983982086,2.9999998787388904e-06,0.7402100563049316,0.7258347868919373,0.0,0.6678429245948792
9,0.5625,0.22222217917442322,2.9999998787388904e-06,0.6363813877105713,0.7258347868919373,0.0,0.6691535711288452
